surname,team_name,position,cost,goal_points,assist_points,clean_points,conceded_points,defcon_points,appearance_points,bonus_points,xPoints
Maguire,Man Utd,DEF,50,6.720000000000001,1.5,17.357894736842105,-1.928654970760234,11.496751746081436,42.0,5.0,82.1459915121633
Kamada,Crystal Palace,MID,50,8.2,9.72,3.8868421052631583,-0.0,12.118708593076093,48.0,0.0,81.92555069833925
Canvot,Crystal Palace,DEF,50,8.879999999999999,0.99,10.897076023391813,-2.7242690058479533,20.823627539684214,34.0,9.0,81.86643455722808
Nmecha,Leeds,FWD,55,29.0,4.74,0.0,-0.0,0.09706764114072124,40.0,8.0,81.83706764114072
Hudson-Odoi,Nott'm Forest,MID,60,13.85,9.06,3.2245614035087717,-0.0,0.29455174916920396,47.0,8.0,81.42911315267798
Rodrigo,Man City,MID,65,5.75,7.3500000000000005,5.298245614035087,-0.0,19.120537992431853,37.0,6.0,80.51878360646694
Onana,Aston Villa,MID,50,8.4,2.07,3.078947368421053,-0.0,17.482141463843718,45.0,4.0,80.03108883226477
Maatsen,Aston Villa,DEF,45,7.5600000000000005,7.17,11.157894736842106,-1.3947368421052633,6.8978371323688075,47.0,1.0,79.39099502710565
Adams,Bournemouth,MID,50,3.15,1.8900000000000001,5.689766081871345,-0.0,20.27391713433059,45.0,3.0,79.00368321620194
Castagne,Fulham,DEF,45,9.0,4.41,8.598830409356724,-3.761988304093567,7.553650175313754,49.0,3.0,77.80049228057692
Mitoma,Brighton,MID,60,20.2,8.22,4.510526315789473,-0.0,0.4867746745976906,42.0,2.0,77.41730099038716
Grealish,Man City,MID,65,10.25,10.11,5.708771929824562,-0.0,1.3295769448232633,38.0,12.0,77.39834887464782
Henderson,Brentford,MID,50,1.6500000000000001,6.93,5.028947368421053,-0.0,6.863577374330592,51.0,5.0,76.47252474275165
Janelt,Brentford,MID,50,4.1,6.8100000000000005,3.773684210526316,-0.0,15.247318077008213,40.0,6.0,75.93100228753453
Tel,Spurs,MID,60,12.350000000000001,7.290000000000001,3.9005847953216377,-0.0,2.3296088648201594,43.0,7.0,75.8701936601418
Lukić,Fulham,MID,50,11.15,5.7299999999999995,2.023391812865497,-0.0,9.617712320669002,43.0,4.0,75.5211041335345
Hutchinson,Nott'm Forest,MID,55,10.049999999999999,11.61,2.9403508771929827,-0.0,1.8670486995083262,46.0,3.0,75.46739957670131
Gvardiol,Man City,DEF,55,13.5,2.0999999999999996,19.228070175438596,-2.002923976608187,4.464055730459488,32.0,5.0,74.2892019292899
Groß,Brighton,MID,55,6.949999999999999,11.850000000000001,4.305263157894737,-0.0,4.008364278150468,37.0,10.0,74.1136274360452
Georginio,Brighton,FWD,55,11.6,8.7,0.0,-0.0,1.526052842266076,50.0,2.0,73.82605284226608
Baleba,Brighton,MID,50,3.9000000000000004,2.16,4.3315789473684205,-0.0,17.252024594072548,46.0,0.0,73.64360354144097
N.Gonzalez,Man City,MID,55,3.4000000000000004,3.3600000000000003,5.47719298245614,-0.0,18.18620633043586,42.0,1.0,73.423399312892
Tete,Fulham,DEF,45,5.5200000000000005,4.38,8.378947368421052,-3.6657894736842103,12.741298982233667,41.0,5.0,73.35445687697052
Anthony,Brentford,MID,60,0.0,0.0,0.0,-0.0,0.0,67.0,6.0,73.0
Johnson,Crystal Palace,MID,60,12.25,3.93,3.5,-0.0,1.1300269178943683,50.0,2.0,72.81002691789436
P.M.Sarr,Spurs,MID,50,8.149999999999999,3.33,4.058479532163743,-0.0,16.131470683952305,39.0,2.0,72.66995021611605
Adli,Bournemouth,MID,50,13.0,4.86,3.454385964912281,-0.0,8.082502896642314,39.0,4.0,72.3968888615546
Khusanov,Man City,DEF,55,3.9000000000000004,3.63,20.028070175438597,-2.0862573099415203,8.047761481017744,35.0,3.0,71.51957434651482
Reinildo,Sunderland,DEF,45,0.78,1.8599999999999999,11.497076023391813,-4.598830409356725,9.806678842938457,46.0,6.0,71.34492445697354
Robinson,Fulham,DEF,45,6.42,4.74,6.95672514619883,-3.0435672514619885,10.325143017881839,38.0,7.0,70.39830091261868
Martinelli,Arsenal,MID,65,20.6,3.81,6.850877192982456,-0.0,0.807322837072406,35.0,3.0,70.06820003005487
Iroegbunam,Everton,MID,50,2.7,2.13,3.0230994152046784,-0.0,15.825551992938898,45.0,1.0,69.67865140814358
Merino,Arsenal,MID,60,16.8,4.35,6.587134502923977,-0.0,6.7237224387894665,30.0,5.0,69.46085694171344
Tanaka,Leeds,MID,50,7.199999999999999,4.17,4.203801169590643,-0.0,9.213738420516089,40.0,4.0,68.78753959010673
Madueke,Arsenal,MID,65,6.15,8.58,7.751461988304094,-0.0,0.20373224386009964,37.0,9.0,68.68519423216419
Mainoo,Man Utd,MID,55,2.4,3.81,4.35,-0.0,11.903128217918947,44.0,2.0,68.46312821791895
Isidor,Sunderland,FWD,55,18.8,1.1400000000000001,0.0,-0.0,0.023263107777506016,41.0,7.0,67.96326310777751
L.Miley,Newcastle,MID,55,6.800000000000001,6.300000000000001,3.9289473684210527,-0.0,7.682030342042136,38.0,5.0,67.7109777104632
Kudus,Spurs,MID,65,9.6,7.23,4.488304093567252,-0.0,3.3394620033026223,36.0,7.0,67.65776609686986
