Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
117,VladimÃ­r Coufal,cz CZE,DF,West Ham,30,1992,36,36,3132,34.8,0,7,7,0,0,0,7,1,0.3,0.3,4,4.3,68,119,126
118,Philippe Coutinho,br BRA,"MF,FW",Aston Villa,31,1992,2,0,25,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,5,5,2
119,Aaron Cresswell,eng ENG,"DF,FW",West Ham,33,1989,11,4,436,4.8,0,0,0,0,0,0,1,0,0,0,0.4,0.4,4,26,6
120,Marc Cucurella,es ESP,DF,Chelsea,25,1998,21,20,1782,19.8,0,2,2,0,0,0,10,0,1.1,1.1,1.1,2.2,31,50,73
121,Josh Cullen,ie IRL,MF,Burnley,27,1996,25,23,2057,22.9,2,3,5,2,0,0,9,0,0.6,0.6,1.8,2.4,22,123,22
122,Matheus Cunha,br BRA,"FW,MF",Wolves,24,1999,32,29,2440,27.1,12,7,19,11,1,1,9,0,9.5,8.7,3.2,11.9,107,87,139
123,Sam Curtis,ie IRL,DF,Sheffield Utd,17,2005,1,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
124,Mahmoud Dahoud,de GER,MF,Brighton,27,1996,9,6,452,5,0,1,1,0,0,0,1,1,0.2,0.2,0.9,1.1,4,11,6
125,Ameen Al-Dakhil,be BEL,DF,Burnley,21,2002,13,12,1056,11.7,1,0,1,1,0,0,1,0,1.3,1.3,0.1,1.4,7,35,9
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
126,Diogo Dalot,pt POR,DF,Manchester Utd,24,1999,36,35,3174,35.3,2,3,5,2,0,0,6,1,1.7,1.7,2.9,4.6,52,124,111
127,Mikkel Damsgaard,dk DEN,MF,Brentford,23,2000,23,7,842,9.4,0,2,2,0,0,0,2,0,0.9,0.9,1.4,2.4,16,61,32
128,Danilo,br BRA,MF,Nott'ham Forest,22,2001,29,20,1792,19.9,2,2,4,2,0,0,4,0,1.8,1.8,1.5,3.4,22,83,28
129,Arnaut Danjuma,nl NED,"MF,FW",Everton,26,1997,14,5,595,6.6,1,0,1,1,0,0,0,0,2.6,2.6,1.1,3.7,24,9,44
130,Jayden Danns,eng ENG,FW,Liverpool,17,2006,2,0,9,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2
131,Josh Dasilva,eng ENG,"DF,FW",Brentford,24,1998,3,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0.2,0.2,2,2,5
