Home Team,Home Score,Away Score,Away Team,Home xG,Away xG,Home xThreat,Away xThreat,Home Pass directness,Away Pass directness,Home Penbox shots,Away Penbox shots,Home Possession,Away Possession,Home Field Tilt,Away Field Tilt,Home Def Action Height,Away Def Action Height,Home 10+ Pass Sequences,Away 10+ Pass Sequences,Home Goal Kick Length,Away Goal Kick Length,Home Goal Kick Progression,Away Goal Kick Progression
Bayern,2.0,2.0,Real Madrid,1.62,1.52,1.25,0.87,27.1,29.5,10.0,8.0,51.2,48.8,58.9,41.1,42.8,42.8,26.0,19.0,20.6,26.7,61.8,51.0
Belgium,0.0,1.0,Slovakia,1.78,0.74,1.57,1.04,27.0,33.6,10.0,6.0,60.0,40.0,55.4,44.6,52.2,43.7,23.0,6.0,20.7,43.5,67.4,31.0
Belgium,2.0,0.0,Romania,2.46,1.43,1.56,1.08,29.8,32.3,,,55.1,44.9,57.1,42.9,52.5,40.2,15.0,4.0,43.1,43.7,20.9,33.7
Bochum,0.0,5.0,Leverkusen,0.16,4.3,1.03,2.36,37.6,29.9,,,32.9,67.1,21.0,79.0,38.7,53.5,5.0,29.0,59.8,29.1,37.4,40.0
Bolivia,1.0,3.0,Panama,0.98,1.69,0.89,1.29,,,,,51.4,48.6,30.5,69.5,37.2,51.1,,,,,,
Bologna,3.0,3.0,Juventus,1.35,1.37,1.02,0.98,31.9,29.0,,,61.6,38.4,46.8,53.2,40.7,58.3,23.0,9.0,29.4,20.5,24.6,33.7
Bournemouth,1.0,0.0,C,1.16,0.21,1.24,0.82,,,,,49.5,50.5,49.4,50.6,44.0,44.4,,,,,,
Bournemouth,1.0,2.0,Brentford,0.66,1.91,1.36,1.44,,,,,48.7,51.3,56.3,43.7,45.6,46.7,,,,,,
Bournemouth,2.0,1.0,Everton,1.45,0.93,1.47,1.39,,,,,48.1,51.9,44.6,55.4,53.5,42.7,,,,,,
Bournemouth,2.0,2.0,Man Utd,2.25,1.6,1.57,1.15,35.5,36.7,11.0,5.0,43.6,56.4,54.6,45.4,43.4,41.3,5.0,15.0,52.9,9.4,39.2,35.5
Bournemouth,3.0,0.0,Brighton,2.36,1.01,1.14,1.45,,,,,30.8,69.2,31.2,68.8,48.6,47.4,,,,,,
Brazil,0.0,0.0,Costa Rica,1.76,0.07,1.95,0.34,28.5,34.1,,,73.7,26.3,91.7,8.3,57.8,31.4,29.0,7.0,14.1,52.4,90.6,24.4
Brazil,1.0,1.0,Colombia,0.21,1.77,0.75,1.4,33.1,28.1,,,50.5,49.5,45.8,54.2,41.5,52.2,14.0,12.0,17.2,65.1,41.8,23.5
Brentford,0.0,0.0,Brighton,0.23,1.15,1.32,1.81,,,,,33.4,66.6,22.9,77.1,42.1,47.6,,,,,,
Brentford,0.0,0.0,Fulham,0.84,1.2,1.13,1.17,,,,,54.4,45.6,56.9,43.1,49.8,39.0,,,,,,
